922,925,891
902,925,947
925,902,891
992,946,970
1017,992,970
992,1017,1028
1465,1388,1428
1630,1585,1548
1585,1671,1628
1671,1585,1630
1463,1422,1408
1463,1504,1540
1498,1530,1442
1422,1498,1442
1463,1498,1422
1498,1463,1540
1352,1422,1442
1389,1352,1442
1307,1352,1275
1453,1463,1408
1463,1453,1504
1419,1384,1462
1172,1206,1139
1105,1172,1139
1205,1172,1138
1172,1105,1138
1206,1173,1139
2355,2396,2438
1716,1635,1678
2396,2480,2438
2480,2528,2438
2530,2574,2485
2789,2748,2704
2400,2441,2483
2441,2400,2356
2315,2400,2357
2400,2315,2356
2572,2482,2528
2528,2482,2438
2403,2359,2318
2486,2403,2443
2403,2358,2443
2358,2403,2318
2278,2358,2318
2358,2278,2317
2155,2112,2197
2112,2068,2030
2068,2155,2111
2155,2068,2112
2071,2112,2030
2237,2277,2317
2278,2237,2317
2277,2237,2197
2237,2155,2197
151,119,134
104,117,134
104,90,117
119,104,134
90,69,100
22,8,6
17,22,6
22,23,8
31,12,25
31,17,12
43,31,25
85,74,102
115,85,102
85,60,74
85,115,100
69,85,100
60,85,69
190,157,185
384,405,416
405,436,416
405,420,436
394,384,416
366,336,341
366,394,400
149,150,123
123,150,133
150,164,133
164,145,133
145,160,128
145,116,133
116,145,128
103,135,120
119,135,103
135,119,151
130,147,117
130,117,100
115,130,100
106,89,120
106,75,89
261,240,274
240,204,220
240,233,204
240,261,233
266,261,289
266,269,241
233,266,241
261,266,233
381,391,360
381,376,402
361,376,346
376,390,402
376,361,390
410,441,422
391,410,422
410,391,381
410,381,402
441,434,462
434,450,462
450,434,421
421,434,402
434,410,402
410,434,441
305,322,331
737,780,758
715,737,758
733,715,758
630,674,656
630,616,588
624,616,656
616,630,656
666,624,656
490,519,511
814,790,769
2469,2521,2567
2462,2469,2383
2521,2469,2462
2469,2419,2383
2419,2469,2463
2548,2469,2567
2469,2548,2463
2463,2508,2421
2508,2548,2596
2548,2508,2463
2267,2191,2229
2149,2109,2080
3855,3878,3898
3871,3855,3898
3936,3891,3918
3891,3871,3918
3855,3822,3821
3822,3855,3871
3795,3838,3821
3838,3855,3821
3855,3838,3878
3878,3838,3858
3838,3818,3858
3818,3838,3795
3775,3795,3821
3822,3775,3821
3772,3796,3820
3796,3772,3746
3794,3772,3820
3558,3592,3532
3895,3919,3937
3874,3919,3895
3960,3919,3942
3919,3960,3937
3849,3895,3872
3849,3874,3895
3829,3803,3851
3803,3829,3780
3676,3702,3729
3744,3692,3718
3719,3744,3770
3744,3719,3692
3718,3665,3683
3692,3665,3718
4120,4134,4110
4120,4140,4134
4095,4120,4110
4120,4095,4109
4140,4133,4151
4133,4149,4151
4133,4137,4149
4133,4120,4109
4120,4133,4140
4074,4085,4104
4074,4056,4085
4138,4113,4132
4113,4138,4122
3685,3712,3659
3685,3656,3708
3712,3763,3741
3741,3763,3792
3763,3817,3792
3763,3787,3817
3736,3708,3759
3736,3763,3712
3736,3685,3708
3685,3736,3712
3787,3736,3759
3763,3736,3787
3604,3630,3659
3630,3685,3659
3685,3630,3656
3630,3604,3573
3627,3598,3652
3627,3571,3598
3708,3679,3732
3656,3679,3708
3679,3704,3732
3627,3679,3656
3704,3679,3652
3679,3627,3652
3832,3854,3879
3864,3832,3879
3832,3864,3810
3832,3810,3783
3805,3832,3783
3854,3832,3805
3595,3537,3564
3537,3506,3564
2824,2779,2865
2869,2911,2953
2826,2782,2740
2826,2868,2911
2869,2826,2911
2826,2869,2782
3307,3345,3273
3345,3307,3376
2824,2908,2868
2951,2908,2865
2908,2824,2865
3498,3527,3558
3527,3498,3466
3498,3435,3466
4080,4050,4070
4050,4080,4058
4080,4089,4058
4035,4014,3997
4050,4014,4035
4010,4027,3989
3921,3943,3901
3963,3943,3981
3964,3921,3940
3964,4002,3981
3943,3964,3981
3964,3943,3921
3964,3940,3987
4002,3964,3987
3872,3896,3851
3915,3896,3872
3921,3896,3940
3896,3915,3940
4002,4018,3981
4018,3999,3981
4032,4018,4051
4018,4032,3999
4039,4002,4025
4018,4039,4051
4039,4018,4002
1367,1403,1441
1403,1367,1331
1484,1406,1447
1222,1189,1156
1635,1595,1678
1595,1635,1555
1517,1595,1555
1595,1517,1556
1440,1480,1518
1364,1401,1438
1188,1125,1157
1093,1124,1156
1124,1093,1064
1091,1124,1064
1124,1091,1154
1037,1011,1064
1093,1037,1064
1037,1093,1066
1013,1037,1066
1039,1095,1068
1095,1127,1068
1127,1095,1158
1095,1039,1066
1095,1126,1158
1126,1095,1066
1188,1221,1253
1221,1188,1157
1221,1289,1253
1289,1221,1254
1189,1223,1158
1254,1223,1291
1219,1252,1185
1517,1478,1438
1478,1517,1555
1723,1640,1681
1249,1215,1182
1286,1322,1250
1358,1396,1432
1358,1322,1396
1059,1034,1088
984,960,938
960,914,938
1581,1624,1541
1503,1581,1541
1477,1470,1418
1622,1617,1668
2066,1986,2026
1868,1909,1831
1909,1986,1950
2251,2258,2179
1816,1735,1775
1735,1816,1776
1577,1499,1538
1534,1497,1457
1499,1534,1457
1534,1499,1577
2772,2855,2854
